locale_id;sk;sk - upravena hlaska;en;en-upravena hlaska
LicenseAgreement.Detail.AccountText;Na použitie niektorých Služieb MetaIS budete potrebovať účet. Účet Vám môže byť pridelený Vaším správcom (ktorý má rolu HKO – hlavná kontaktná osoba orgánu riadenia). Aby sa zaručila bezpečnosť Vášho účtu, heslo nikomu neprezrádzajte. Za aktivitu prebiehajúcu vo Vašom účte alebo údaje vložené a zmenené prostredníctvom neho nesiete plnú zodpovednosť. V aplikáciách tretích strán nepoužívajte rovnaké heslo ako pre účet. Ak zistíte akékoľvek neoprávnené použitie Vášho hesla alebo účtu, je potrebné túto skutočnosť nahlásiť správcovi MetaIS na adrese metais@mfsr.sk.;Na použitie niektorých Služieb MetaIS budete potrebovať účet. Účet Vám môže byť pridelený Vaším správcom (ktorý má rolu HKO – hlavná kontaktná osoba orgánu riadenia). Aby sa zaručila bezpečnosť Vášho účtu, heslo nikomu neprezrádzajte. Za aktivitu prebiehajúcu vo Vašom účte alebo údaje vložené a zmenené prostredníctvom neho nesiete plnú zodpovednosť. V aplikáciách tretích strán nepoužívajte rovnaké heslo ako pre účet. Ak zistíte akékoľvek neoprávnené použitie Vášho hesla alebo účtu, je potrebné túto skutočnosť nahlásiť správcovi MetaIS na adrese: ;You will need an account to use some of the MetaIS Services. The account can be assigned to you by your administrator (who has the role of HKO - main contact person of the liable person). To ensure the security of your account, do not disclose your password to anyone. You bear full responsibility for the activity taking place in your account or the data entered and changed through it. Do not use the same password for the account in third-party applications. If you discover any unauthorized use of your password or account, you must report this fact to the MetaIS administrator at metais@mfsr.sk.;You will need an account to use some of the MetaIS Services. The account can be assigned to you by your administrator (who has the role of HKO - main contact person of the liable person). To ensure the security of your account, do not disclose your password to anyone. You bear full responsibility for the activity taking place in your account or the data entered and changed through it. Do not use the same password for the account in third-party applications. If you discover any unauthorized use of your password or account, you must report this fact to the MetaIS administrator at 
LicenseAgreement.Detail.MustNot.Change;Ministerstvo financií SR si vyhradzuje právo na zmenu podmienok používania MetaIS.;Ministerstvo investícií, regionálneho rozvoja a informatizácie Slovenskej republiky si vyhradzuje právo na zmenu podmienok používania MetaIS.;The Ministry of Finance of the Slovak Republic reserves the right to change the conditions of use of MetaIS.;Ministry of Investments, Regional Development and Informatization of the Slovak Rebublic
LicenseAgreement.Detail.MustNot.First;obchádzať žiadne technické obmedzenia softvéru,;;circumvent any technical limitations of the software,;
LicenseAgreement.Detail.MustNot.Second;spätne analyzovať, dekompilovať ani rozkladať softvér na súčasti s výnimkou takejto činnosti v rozsahu, v akom ju i napriek uvedeným obmedzeniam výslovne povoľuje príslušný právny poriadok SR,;;reverse-analyze, decompile or disassemble the software into components, with the exception of such activity to the extent that it is expressly permitted by the relevant legal order of the Slovak Republic, despite the aforementioned restrictions,;
LicenseAgreement.Detail.MustNot.Third;poskytovať softvér ostatným na kopírovanie,prenajímať, poskytovať na lízing ani požičiavať softvér, prevádzať softvér alebo túto zmluvu na tretiu stranu ani používať softvér na účely služieb komerčného hosťovania softvéru.;;provide the Software to others to copy, rent, lease, or loan the Software, transfer the Software or this Agreement to a third party, or use the Software for commercial software hosting services.;
LicenseAgreement.Detail.MustNot.Title;Nesmiete:;;You may not:;
LicenseAgreement.Detail.ProcessInformation.Email;pracovný email, ;pracovná e-mailová adresa;work email,;
LicenseAgreement.Detail.ProcessInformation.Name;meno,;;name,;
LicenseAgreement.Detail.ProcessInformation.PO;povinná osoba (zamestnávateľ);;obliged person (employer);
LicenseAgreement.Detail.ProcessInformation.Phone;pracovné telefónne číslo,;;work phone number,;
LicenseAgreement.Detail.ProcessInformation.Surname;priezvisko,;;surname,;
LicenseAgreement.Detail.Protection;Ochrana osobných údajov;;Privacy;
LicenseAgreement.Detail.ProtectionText;Organizácia alebo jednotlivec poskytujúci informácie do MetaIS je zodpovedný za súlad predkladaných informácii so zákonom, predovšetkým s ohľadom na zákon o ochrane osobných údajov č. 428/2002 Z. z. a čl. 13 a 14 GDPR/ § 19 a 20 zákona č. 18/2018 Z. z. o ochrane osobných údajov. Použitím Služieb MetaIS vyjadrujete váš súhlas s poskytnutím  nižšie uvedených údajov  údajov do MetaIS a s ich spracovaním: ;;The organization or individual providing information to MetaIS is responsible for the compliance of the submitted information with the law, especially with regard to the Personal Data Protection Act No. 428/2002 Coll. and Art. 13 and 14 GDPR/ § 19 and 20 of Act no. 18/2018 Coll. on the protection of personal data. By using the MetaIS Services, you express your consent to the provision of the following data to MetaIS and to its processing: ;
LicenseAgreement.Detail.Range;Rozsah a obmedzenia;;Scope and limitations;
LicenseAgreement.Detail.RangeText;Naše Služby poskytujeme s využitím primeraných obchodných schopností a starostlivosti a veríme, že Vám prinesú úžitok. Sú však veci, ktoré Vám v súvislosti so Službami MetaIS nemôžeme sľúbiť. Ministerstvo financií SR ani jeho dodávatelia neposkytujú žiadne prísľuby týkajúce sa Služieb MetaIS s výnimkou tých, ktoré sú výslovne uvedené v týchto podmienkach alebo doplňujúcich podmienkach. Služby poskytujeme bez záruk „tak ako sú“. Ministerstvo financií SR ani jeho dodávatelia nie sú v žiadnom prípade zodpovední za žiadnu stratu alebo škodu, ktorá nie je v primeranej miere predvídateľná. Tieto podmienky používania Vám poskytujú len niektoré práva na používanie softvéru. Ministerstvo financií SR si vyhradzuje všetky ostatné práva. Softvér smiete používať výhradne spôsobom povoleným v týchto podmienkach. Musíte pri tom dodržiavať akékoľvek technické obmedzenia softvéru, ktoré ho umožňujú používať iba určitými spôsobmi. ;Naše Služby poskytujeme s využitím primeraných obchodných schopností a starostlivosti a veríme, že Vám prinesú úžitok. Sú však veci, ktoré Vám v súvislosti so Službami MetaIS nemôžeme sľúbiť. Ministerstvo financií SR ani jeho dodávatelia neposkytujú žiadne prísľuby týkajúce sa Služieb MetaIS s výnimkou tých, ktoré sú výslovne uvedené v týchto podmienkach alebo doplňujúcich podmienkach. Služby poskytujeme bez záruk „tak ako sú“. Ministerstvo investícií, regionálneho rozvoja a informatizácie SR ani jeho dodávatelia nie sú v žiadnom prípade zodpovední za žiadnu stratu alebo škodu, ktorá nie je v primeranej miere predvídateľná. Tieto podmienky používania Vám poskytujú len niektoré práva na používanie softvéru. Ministerstvo investícií, regionálneho rozvoja a informatizácie SR si vyhradzuje všetky ostatné práva. Softvér smiete používať výhradne spôsobom povoleným v týchto podmienkach. Musíte pri tom dodržiavať akékoľvek technické obmedzenia softvéru, ktoré ho umožňujú používať iba určitými spôsobmi.;We provide our Services using reasonable business skill and care and believe that they will benefit you. However, there are things that we cannot promise you in connection with the MetaIS Services. Neither the Ministry of Finance of the Slovak Republic nor its suppliers make any promises regarding the MetaIS Services, except for those expressly stated in these terms and conditions or supplementary terms. We provide the Services „as is” without warranty. The Ministry of Finance of the Slovak Republic and its suppliers are in no way responsible for any loss or damage that is not reasonably foreseeable. These terms of use only grant you certain rights to use the software. The Ministry of Finance of the Slovak Republic reserves all other rights. You may use the Software only as permitted by these Terms. In doing so, you must comply with any technical restrictions on the software that only allow you to use it in certain ways. ;We provide our Services using reasonable business skill and care and believe that they will benefit you. However, there are things that we cannot promise you in connection with the MetaIS Services. Neither the Ministry of Ministry of Investments, Regional Development and Informatization of the Slovak Rebublic of the Slovak Republic nor its suppliers make any promises regarding the MetaIS Services, except for those expressly stated in these terms and conditions or supplementary terms. We provide the Services „as is” without warranty. The Ministry of Ministry of Investments, Regional Development and Informatization of the Slovak Rebublic of the Slovak Republic and its suppliers are in no way responsible for any loss or damage that is not reasonably foreseeable. These terms of use only grant you certain rights to use the software. The Ministry of Finance of the Slovak Republic reserves all other rights. You may use the Software only as permitted by these Terms. In doing so, you must comply with any technical restrictions on the software that only allow you to use it in certain ways. 
LicenseAgreement.Detail.Title;Podmienky používania Centrálneho metainformačného systému verejnej správy;;Terms of use of the Central Metainformation System of Public Administration;
LicenseAgreement.Detail.TitleText;Ďakujeme Vám za používanie produktov a služieb Centrálneho metainformačného systému verejnej správy („Služby MetaIS”), ktorý sa skladá z webového portálu na adrese metais.finance.gov.sk, nástroja na modelovanie architektúry a pluginu na synchronizáciu údajov medzi samotným nástrojom a portálom. Webový portál predstavuje používateľské rozhranie k systému a spôsob zadávania a prezentácie údajov. Je hlavným kanálom používateľa. Nástroj BizzDesign Enterprise Studio (ďalej aj ako „BES“) je komponentom MetaIS, ktorý slúži na zadávanie údajov o architektúre v grafickej forme. Tieto údaje sú synchronizované s webovým portálom, kde môžu byť následne používateľom doplnené. Synchronizáciu zabezpečuje tzv. plugin na synchronizáciu (ďalej aj ako „plugin“). Plugin umožňuje jednoduché hromadné zmeny prostredníctvom nástroja BES a je teda na poverenom zamestnancovi povinnej osoby (ďalej aj ako “používateľ”), aby plugin používal výhradne v súlade s manuálom a inštrukciami, keďže nesprávnym používaním je možné sposobiť nekonzistenciu a chyby, ktoré je následne časovo náročné odstrániť. Poverený zamestnanec povinnej osoby je zodpovedný za konzistenciu, úplnosť a presnosť informácií predkladaných do MetaIS za povinnú osobu a jej podriadené organizácie. Použitím služieb MetaIS vyjadrujete svoj súhlas s týmito zmluvnými podmienkami.;Ďakujeme Vám za používanie produktov a služieb Centrálneho metainformačného systému verejnej správy („Služby MetaIS”), ktorý sa skladá z webového portálu na adrese metais.mirri.gov.sk, nástroja na modelovanie architektúry a pluginu na synchronizáciu údajov medzi samotným nástrojom a portálom. Webový portál predstavuje používateľské rozhranie k systému a spôsob zadávania a prezentácie údajov. Je hlavným kanálom používateľa. Nástroj BizzDesign Enterprise Studio (ďalej aj ako „BES“) je komponentom MetaIS, ktorý slúži na zadávanie údajov o architektúre v grafickej forme. Tieto údaje sú synchronizované s webovým portálom, kde môžu byť následne používateľom doplnené. Synchronizáciu zabezpečuje tzv. plugin na synchronizáciu (ďalej aj ako „plugin“). Plugin umožňuje jednoduché hromadné zmeny prostredníctvom nástroja BES a je teda na poverenom zamestnancovi povinnej osoby (ďalej aj ako “používateľ”), aby plugin používal výhradne v súlade s manuálom a inštrukciami, keďže nesprávnym používaním je možné sposobiť nekonzistenciu a chyby, ktoré je následne časovo náročné odstrániť. Poverený zamestnanec povinnej osoby je zodpovedný za konzistenciu, úplnosť a presnosť informácií predkladaných do MetaIS za orgán riadenia a jej podriadené organizácie. Použitím služieb MetaIS vyjadrujete svoj súhlas s týmito zmluvnými podmienkami.;Thank you for using the products and services of the Central Public Administration Metainformation System („MetaIS Services”), which consists of a web portal at metais.finance.gov.sk, an architecture modeling tool and a plugin for synchronizing data between the tool itself and the portal. The web portal represents the user interface to the system and the method of entering and presenting data. It is the main channel of the user. BizzDesign Enterprise Studio (hereinafter referred to as „BES”) is a MetaIS component used to enter architectural data in graphical form. This data is synchronized with the web portal, where it can then be supplemented by the user. Synchronization is provided by the so-called synchronization plugin (hereinafter referred to as „plugin”). The plugin enables simple mass changes through the BES tool, and it is therefore up to the authorized employee of the obliged entity (hereinafter referred to as the „user”) to use the plugin exclusively in accordance with the manual and instructions, since incorrect use can cause inconsistencies and errors, which are subsequently difficult to remove. The authorized employee of the liable entity is responsible for the consistency, completeness and accuracy of the information submitted to the central public administration mMetaISformation system (MetaIS) for the liable entity and its subordinate organizations. By using MetaIS services, you agree to these terms and conditions.;"Thank you for using the products and services of the Central Public Administration Metainformation System („MetaIS""), which consists of a web portal at metais.mirri.gov.sk, an architecture modeling tool and a plugin for synchronizing data between the tool itself and the portal. The web portal represents the user interface to the system and the method of entering and presenting data. It is the main channel of the user. BizzDesign Enterprise Studio (hereinafter referred to as „BES”) is a MetaIS component used to enter architectural data in graphical form. This data is synchronized with the web portal, where it can then be supplemented by the user. Synchronization is provided by the so-called synchronization plugin (hereinafter referred to as „plugin”). The plugin enables simple mass changes through the BES tool, and it is therefore up to the authorized employee of the obliged entity (hereinafter referred to as the „user”) to use the plugin exclusively in accordance with the manual and instructions, since incorrect use can cause inconsistencies and errors, which are subsequently difficult to remove. The authorized employee of the liable entity is responsible for the consistency, completeness and accuracy of the information submitted to the MetaIS for the liable entity and its subordinate organizations. By using MetaIS services, you agree to these terms and conditions."
LicenseAgreement.Detail.Usage;Používanie služieb;;Use of Services;
LicenseAgreement.Detail.UsageText;Služby MetaIS nesmiete zneužívať. Môžeme Vám pozastaviť alebo zastaviť poskytovanie našich Služieb, ak porušíte naše zmluvné podmienky alebo pravidlá, alebo keď budeme prešetrovať podozrenie z nevhodného používania.Veríme, že transparentná komunikácia, aká je bežná pri otvorených softvérových projektoch, je dobrou cestou vpred a že otvorenosť vytvára príležitosti: publikované dáta a publikovaný obsah sa môžu využiť novým a nečakaným spôsobom. Preto aj materiály, z ktorých niektoré sú určené pre konkrétne orgány štátnej správy, dávame k dispozícii online, všetkým. Na údaje získané používaním služieb MetaIS sa vzťahuje licencia / vyhlásenie o zrieknutí sa práv Creative Commons Zero, ak nie je uvedené inak, nakoľko sa jedná o otvorené údaje.;;You must not abuse MetaIS services. We may suspend or stop providing you with our Services if you violate our terms of service or rules, or when we investigate suspected inappropriate use. We believe that transparent communication, as is common in open software projects, is a good way forward and that openness creates opportunities to: published data and published content can be used in new and unexpected ways. That's why we also make materials, some of which are intended for specific state administration bodies, available online to everyone. Data obtained through the use of MetaIS services is subject to the Creative Commons Zero license / disclaimer, unless otherwise stated, as it is open data.;
LicenseAgreement.Error;Pred používaním Centrálneho metainformačného systému verejnej správy musíte súhlasiť s podmienkami;;Before using the Central Public Administration Metainformation System, you must agree to the terms;
LicenseAgreement.Title;Podmienky používania Centrálneho metainformačného systému verejnej správy;;Terms of use of the Central Metainformation System of Public Administration;
accordion.closeAll;Zatvoriť všetko;;Close all;
accordion.openAll;Otvoriť všetko;;Open all;
actionOverTable.actions;Hromadné úkony;;Bulk actions;
actionOverTable.addItem;Vytvoriť položku {{ciTypeName}} ;;Create item {{ciTypeName}} ;
actionOverTable.changeOwner;Zmena vlastníka;;Change owner;
actionOverTable.deleteItems;Odstránenie položiek;;Delete items;
actionOverTable.export;Export;;Export;
actionOverTable.import;Import;;Import;
actionOverTable.invalidateItems;Zneplatnenie položiek;;Invalidate items;
actionOverTable.metaColumnName.createdAt;Vytvorené;;Created;
actionOverTable.metaColumnName.group;Správca;;Manager;
actionOverTable.metaColumnName.lastModifiedAt;Posledná zmena;; Last change;
actionOverTable.metaColumnName.state;Stav evidencie;;Evidence status;
actionOverTable.options.addDocument;Pridať dokument;;Add document;
actionOverTable.options.delete;Zmazať;;Delete;
actionOverTable.options.download;Stiahnuť;;Download;
actionOverTable.options.history;História;;History;
actionOverTable.options.invalidate;Zneplatniť;;Invalidate;
actionOverTable.options.openDocument;Otvoriť/upraviť dokument;;Open/Edit documents;
actionOverTable.options.title;Možnosti;;Options;
actionOverTable.options.update;Aktualizovať;;Update;
actionOverTable.options.uploadDocument;Nahrať dokument;;Upload document;
actionOverTable.selectColumn;Stĺpce;;Columns;
actionOverTable.validateItems;Splatnenie položiek;;Validate actions;
actionOverTable.view;Zobraziť;;View;
attributeProfileAccordion.admin;Správca;;Administrator;
attributeProfileAccordion.codeMetaIS;Kód MetaIS;;Code MetaIS;
attributeProfileAccordion.description;Popis;;Description;
attributeProfileAccordion.informationSystemName;Názov informačného systému;;Information system name;
attributeProfileAccordion.note;Poznámka;;Note;
attributeProfileAccordion.referenceIdentifier;Referencovateľný identifikátor;;Reference identifier;
autoLogout.loading;Spracúvame odhlásenie;;Proccessing logout;
autoLogout.warningMessage;O {{countDown}} sekúnd budete kvôli inaktivite odhlásený.;Z dôvodu nečinnosti budete o {{countDown}} sekúnd automaticky odhlásený z MetaIS.;In {{countDown}} you will be logged out due to inactitvity.;
breadcrumbs.404;Chyba;;Error;
breadcrumbs.ciClone;Klonovanie {{itemName}};;Clone of {{itemName}};
breadcrumbs.ciCloneEntity;Klonovanie položky;;Clone of component;
breadcrumbs.ciCreate;Vytvorenie novej entity;;Create configuration item;
breadcrumbs.ciCreateEntity;Vytvorenie novej položky typu {{entityName}};;Create new item of type {{entityName}};
breadcrumbs.ciEdit;Editácia {{itemName}};;Edit of {{itemName}};
breadcrumbs.ciEditEntity;Editácia položky;;Edit of component;
breadcrumbs.codeLists;;;Codelists;
breadcrumbs.compareHistory;Porovnávanie histórie;;Compare history;
breadcrumbs.dataObjects;Dátové objekty;;Data objects;
breadcrumbs.draftsList;Zoznam návrhov;;Drafts list;
breadcrumbs.forgottenPassword;Obnova hesla;;Reset password;
breadcrumbs.home;Domov;;Home;
breadcrumbs.login;Meno a heslo;;Name and password;
breadcrumbs.loginProblems;Problémy s prihlásením;;Problems with login;
breadcrumbs.newCiAndRelation;Pridanie novej položky a vzťahu pre {{itemName}};;Add new item and relation for {{itemName}};
breadcrumbs.newRelation;Pridanie nového vzťahu k {{itemName}};;Add new relation of {{itemName}};
breadcrumbs.noName;Bez mena;;No name;
breadcrumbs.prelogin;Prihlásenie;;Login;
breadcrumbs.refRegisters;Referenčné registre;;Reference registers;
breadcrumbs.refRegistersCreate;Žiadosť na pridanie;;Request to add;
breadcrumbs.refRegistersEdit;Zmena údajov o referenčnom registri;;Edit reference register;
breadcrumbs.requestCreate;Žiadosť o zaradenie číselníka;Žiadosť o vytvorenie číselníka;Create request to add a codelist;
breadcrumbs.requestList;Zoznam žiadostí založenia číselníka;Zoznam žiadostí o vytvorenie číselníka;List of requests to add a codelist;
breadcrumbs.standardization;Štandardizácia;;Standardization;
breadcrumbs.wiki.CODELISTS_HOWTO;Číselníky;;Codelists;
breadcrumbs.wiki.EGOV_HOWTO;e-Government Komponenty;e-Government komponenty;e-Government Components;
breadcrumbs.wiki.IKT_ADMINISTRATION_HOWTO;;;;
breadcrumbs.wiki.IKT_HOWTO;;;;
breadcrumbs.wiki.IKT_MIGRATION_HOWTO;;;;
breadcrumbs.wiki.INSPECTION_HOWTO;;;;
breadcrumbs.wiki.ISVS_INTEGRATIONS_HOWTO;;;;
breadcrumbs.wiki.LICENSE_HOWTO;;;;
breadcrumbs.wiki.MONITORING_HOWTO;Zostavy a monitoring;;Reports and monitoring;
breadcrumbs.wiki.NKIVS_HOWTO;;;;
breadcrumbs.wiki.OTHER_HOWTO;;;;
breadcrumbs.wiki.PO_HOWTO;Orgány riadenia;;Public authorities;
breadcrumbs.wiki.REF_REG_HOWTO;Referenčné registre;;Reference registers;
breadcrumbs.wiki.SDO_HOWTO;Dátové objekty;;Data objects;
breadcrumbs.wiki.SPK_HOWTO;Ciele, princípy a KRIT;;Goals, principles and KRIT;
breadcrumbs.wiki.STD_HOWTO;Štandardizácia;;Standardization;
breadcrumbs.wiki.TOTAL_OWNERSHIP_COSTS_HOWT;Celkové náklady na vlastníctvo;;Total cost of ownership;
breadcrumbs.wiki.URI_HOWTO;;;;
bulkActions.addFile.success;Dokument bol úspešne pridaný;;Document has been added successfully;
bulkActions.addFile.title;Pridat dokument;;Add document;
bulkActions.addFile.tooLargeError;Dokument je príliš veľký;;Document too large;
bulkActions.addFile.upload;Nahrať súbor;;Upload file;
bulkActions.changeOwner.button;Vykonať zmenu;;Perform change;
bulkActions.changeOwner.changeDescription;Popis zmeny;;Change description;
bulkActions.changeOwner.changeType;Typ zmeny;;Change type;
bulkActions.changeOwner.listText;Chystáte sa zmeniť tieto vybrané záznamy ({{count}}):;;Selected records will be modified ({{count}}):;
bulkActions.changeOwner.newWindowText;Zobraziť celý zoznam inštancií a ich vzťahov (do nového okna);;Show the whole list of instances and their relationships (in new window);
bulkActions.changeOwner.reason;Dôvod zmeny;;Reason for change;
bulkActions.changeOwner.reasonType.architectureChange;Architektonická zmena;;Architecture change;
bulkActions.changeOwner.reasonType.othersChange;Iný dôvod;;Other reason;
bulkActions.changeOwner.reasonType.personalChange;Personálna zmena;;Personal change;
bulkActions.changeOwner.success;Položka bola poslaná na spracovanie, prosím počkajte na notifikáciu o zmene vlastníka.;Položka bola odoslaná na spracovanie, prosím, počkajte na notifikáciu o zmene vlastníka.;Item was sent for processing, please wait for owner change notification.;
bulkActions.changeOwner.successList;Položky boli poslané na spracovanie, prosím počkajte na notifikáciu o zmene vlastníka.;Položky boli odoslané na spracovanie, prosím, počkajte na notifikáciu o zmene vlastníka.;Items were sent for processing, please wait for owner change notification.;
bulkActions.changeOwner.title;Zmena vlastníka;;Change of owner;
bulkActions.changeOwner.titleList;Zmena vlastníka;;Change of owner;
bulkActions.changeOwner.types.changeCmdbItem;Zmeniť len vlastníka vybraných položiek, nemeniť vlastníka relácií;;Change owner of item, don't change owner of relationships;
bulkActions.changeOwner.types.changeCmdbItemAndRelatedCmdbItems;Zmeniť všetky položky bez ohľadu na rozdieľnosť vlastníka;;Change item and its relationships regardless of the owner;
bulkActions.changeOwner.types.changeCmdbItemAndRelatedCmdbItemsWithSameOwner;Zmeniť všetky položky a ich relácie, kde je rovnaký vlastník (ostatné ponechá pôvodné);;Change item and its relationships with identical owner (other will remain unmodified);
bulkActions.deleteFile.deleteFile;Zmazanie;;Delete file;
bulkActions.deleteFile.listText;Chystáte sa zmazať tieto vybrané dokumenty ({{count}}):;;Selected documents will be removed ({{count}}):;
